Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh
San Diego,1/14/2024 21:12,10.68,41.2,4.02,8.23
San Diego,5/17/2024 15:22,8.73,58.32,9.11,27.72
San Diego,5/11/2024 9:30,11.63,38.82,4.61,28.73
Philadelphia,2/26/2024 17:32,-8.63,54.07,3.18,26.37
San Antonio,4/29/2024 13:23,39.81,72.9,9.6,29.9
San Diego,1/21/2024 8:54,27.34,49.02,9.17,27.47
San Jose,1/13/2024 2:10,1.88,65.74,0.22,1.07
New York,1/25/2024 19:04,-6.89,30.8,8.03,16.85
New York,3/29/2024 5:20,0.96,38.82,3.64,7.99
San Jose,5/18/2024 9:14,-1.61,82.2,4.1,25.65
New York,3/4/2024 13:47,35.15,54.75,8.35,25.43
Houston,3/7/2024 22:03,15.82,80.12,3.76,16.75
Dallas,2/27/2024 21:07,32.02,53.19,3.55,3.05
Houston,5/9/2024 0:53,38.64,85.95,0.47,20.78
Houston,5/12/2024 15:57,39.67,72.75,1.26,6.48
Philadelphia,3/9/2024 1:51,28.29,35.24,9.35,14.07
San Antonio,2/10/2024 15:05,16.35,65.81,0.11,6.6
Chicago,1/6/2024 2:59,26.79,31.51,0.5,22.98
San Antonio,5/8/2024 16:20,35.18,35.08,9.6,4.51
San Diego,1/31/2024 5:38,14.61,66.64,1.52,29.43
San Diego,1/25/2024 12:59,33.02,52.61,0.21,16.73
New York,2/19/2024 12:26,-7.38,54.09,1.91,6.64
San Antonio,2/14/2024 4:43,30.74,85.6,9.25,24.38
San Jose,4/22/2024 3:13,34.54,57.79,3.58,13.04
Houston,1/11/2024 2:53,-5.24,58.05,4.07,24.75
San Jose,3/5/2024 21:38,-1.73,47.97,7.07,3.43
San Diego,3/27/2024 10:44,24.31,57.87,9.69,23.95
San Antonio,2/8/2024 20:45,3.02,49.87,6.91,6.21
New York,1/4/2024 21:41,14.57,41.35,3.34,4.78
Los Angeles,2/15/2024 20:47,-2.41,46.83,4.55,7.44
New York,2/2/2024 2:17,-2.86,53.4,5.47,28.52
Dallas,2/22/2024 14:16,12.87,44.73,4.81,5.57
Chicago,4/16/2024 0:07,17.59,32.82,0.13,0.23
Houston,2/29/2024 23:17,7.63,33.52,2.46,13.23
Philadelphia,4/20/2024 9:34,0.35,88.02,1.8,21.67
Dallas,3/22/2024 2:34,17.44,56.21,9.73,9.5
Philadelphia,3/16/2024 23:47,23.41,78.91,7.77,3.68
